window,source_strategy,source_layer,source_condition,condition,train_samples,train_wins,train_win_rate,train_wilson_lower,train_signals_per_day,train_start,train_end,cover_start,cover_end,cover_signals,cover_wins,cover_win_rate,cover_signals_per_day
1,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_10>0.0 & upper_shadow_ratio>0.3,up_probability<=0.1 & ret_10>0.0 & upper_shadow_ratio>0.3,242,217,0.8966942148760331,0.851947320958714,8.066853399384245,2025-05-25 00:26:00,2025-06-24 00:26:00,2025-06-24 00:26:00,2025-07-01 00:26:00,46,37,0.8043478260869565,6.571428571428571
2,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ema_20_60_diff>0.0005 & trend_agreement>-0.333333,up_probability<=0.1 & ema_20_60_diff>0.0005 & trend_agreement>-0.333333,424,377,0.8891509433962265,0.8557035197422058,14.134642096490415,2025-06-01 00:26:00,2025-07-01 00:26:00,2025-07-01 00:26:00,2025-07-08 00:26:00,107,100,0.9345794392523364,15.285714285714286
3,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_10>0.0 & macd_hist<=0,up_probability<=0.1 & ret_10>0.0 & macd_hist<=0,364,331,0.9093406593406593,0.875413500565798,12.142046375871574,2025-06-08 00:26:00,2025-07-08 00:26:00,2025-07-08 00:26:00,2025-07-15 00:26:00,130,117,0.9,18.571428571428573
4,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_30>0.002 & rsi_14>60,up_probability<=0.1 & ret_30>0.002 & rsi_14>60,212,203,0.9575471698113207,0.9212997948552658,7.0684665076755655,2025-06-15 00:26:00,2025-07-15 00:26:00,2025-07-15 00:26:00,2025-07-22 00:26:00,76,63,0.8289473684210527,10.857142857142858
5,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_30>0.002 & macd_hist>-5,up_probability<=0.1 & ret_30>0.002 & macd_hist>-5,232,212,0.9137931034482759,0.8706029979011447,7.734228498668827,2025-06-22 00:26:00,2025-07-22 00:26:00,2025-07-22 00:26:00,2025-07-29 00:26:00,44,43,0.9772727272727273,6.285714285714286
6,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_30>0.002 & macd_hist>-5,up_probability<=0.1 & ret_30>0.002 & macd_hist>-5,229,211,0.9213973799126638,0.879185108024094,7.63404018890638,2025-06-29 00:26:00,2025-07-29 00:26:00,2025-07-29 00:26:00,2025-08-05 00:26:00,48,40,0.8333333333333334,6.857142857142857
7,adaptive_rule_switch,legacy_adaptive_candidate_stream,confidence>0.99 & ema_20_60_diff>0.001 & close_position>0.3,confidence>0.99 & ema_20_60_diff>0.001 & close_position>0.3,172,161,0.936046511627907,0.8891226025007676,5.733466052454918,2025-07-06 00:26:00,2025-08-05 00:26:00,2025-08-05 00:26:00,2025-08-12 00:26:00,60,53,0.8833333333333333,8.571428571428571
8,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ema_20_60_diff>0.001 & macd_hist>-5,up_probability<=0.1 & ema_20_60_diff>0.001 & macd_hist>-5,157,151,0.9617834394904459,0.9191384847182683,5.2335756285013195,2025-07-13 00:26:00,2025-08-12 00:26:00,2025-08-12 00:26:00,2025-08-19 00:26:00,33,31,0.9393939393939394,4.714285714285714
9,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_5>0.0 & ret_30>0.002,up_probability<=0.1 & ret_5>0.0 & ret_30>0.002,204,190,0.9313725490196079,0.8881150461723455,6.803937463810075,2025-07-20 00:26:00,2025-08-19 00:26:00,2025-08-19 00:26:00,2025-08-26 00:26:00,35,30,0.8571428571428571,5.0
10,adaptive_rule_switch,legacy_adaptive_candidate_stream,up_probability<=0.1 & ret_5>0.0 & ema_20_60_diff>0.001,up_probability<=0.1 & ret_5>0.0 & ema_20_60_diff>0.001,160,154,0.9625,0.9206091783691168,5.337163242141352,2025-07-27 00:26:00,2025-08-26 00:26:00,2025-08-26 00:26:00,2025-09-02 00:26:00,32,28,0.875,4.571428571428571
